Timestamp,#_slices,req_bw_per_slice,req_ue_per_slice,req_per_second,ul_per_app,dl_per_app,pdu_per_slice,latency_per_app,packet_loss_per_app,rtt_per_app,jitter_per_app,aggr_cpu,aggr_mem,aggr_disk,aggr_link_bw
1648827998,1,100,400,42,13,18,761,24,0.9,36.1,8,13.2,70.9,177.2,102.1
1648828028,1,100,400,44,9,18,674,16.3,0.3,27.2,5.4,13,70.5,172.5,98.9
1648828058,1,100,400,42,11,19,670,26.5,0.7,46.6,8.8,13.1,70.6,174,99.9
1648828088,1,100,400,42,12,24,834,18.4,0.1,37.7,6.1,13.7,71.8,187.3,108.9
1648828118,1,100,400,41,13,26,910,18.9,0,29.8,6.3,13.9,72.3,192.7,112.5
1648828148,1,100,400,44,13,16,713,17.5,0.5,32,5.8,13.2,70.9,177.6,102.4
1648828178,1,100,400,43,12,18,838,21.7,1.5,39.1,7.2,13.4,71.3,182.1,105.4
1648828208,1,100,400,42,13,15,692,24.6,1.4,48.4,8.2,13.1,70.6,173.5,99.5
1648828238,1,100,400,42,8,15,700,15,0.5,25.1,5,12.8,69.9,166.6,94.9
1648828268,1,100,400,41,12,23,989,36.1,1,59.4,12,13.8,72.1,191.1,111.5
1648828298,1,100,400,44,14,18,826,29.4,1.5,65.7,9.8,13.6,71.6,185.6,107.8
1648828328,1,100,400,43,10,20,697,18.1,0.1,44,6,13.3,71,178,102.6
1648828358,1,100,400,41,15,16,772,20.5,1,49.5,6.8,13.4,71.3,181.6,105
1648828388,1,100,400,41,10,17,604,12.7,0.5,28,4.2,12.9,70.2,168.9,96.5
1648828418,1,100,400,44,16,18,786,29.5,1.1,58.2,9.8,13.7,72,189.1,110.1
1648828448,1,100,400,44,19,20,935,19.6,0.5,41.8,6.5,14.2,73.1,201.4,118.4
1648828478,1,100,400,41,16,23,971,21.5,1.4,34.4,7.2,14.1,72.8,198.3,116.3
1648828508,1,100,400,41,13,25,951,33.1,1.1,77.5,11,14,72.5,195.4,114.3
1648828538,1,100,400,44,14,25,990,35.1,1.5,73.4,11.7,14.3,73.1,201.7,118.6
1648828568,1,100,400,42,16,24,860,28.4,1.2,51,9.5,14,72.6,196.2,114.9
1648828598,1,100,400,43,11,24,827,30.3,1.1,52.4,10.1,13.7,71.9,188.8,109.9
1648828628,1,100,400,42,15,27,985,20.1,0.5,39.4,6.7,14.4,73.4,205,120.8
1648828658,1,100,400,41,15,27,988,25.3,1,42.6,8.4,14.4,73.3,204,120.1
1648828688,1,100,400,44,14,19,767,30.5,0.9,49.7,10.2,13.7,71.9,188.7,109.8
1648828718,1,100,400,41,9,17,617,22.5,1.5,37,7.5,12.9,70.3,170.1,97.3
1648828748,1,100,400,42,9,18,657,25.9,1.1,60.8,8.6,13.1,70.6,173.9,99.8
1648828778,1,100,400,44,11,20,911,30.1,0.7,54.9,10,13.8,72.1,191.1,111.4
1648828808,1,100,400,44,15,26,888,35.1,1.4,63.6,11.7,14.3,73.1,202.4,119.1
1648828838,1,100,400,44,12,16,609,22.1,1,39.7,7.4,13.2,70.8,176.4,101.5
1648828868,1,100,400,41,12,20,767,29.9,1,74.1,10,13.5,71.5,183.5,106.3
1648828898,1,100,400,42,13,24,871,25.9,0.9,41.3,8.6,14,72.4,194.5,113.7
1648828928,1,100,400,44,12,21,710,23.3,0.6,39.8,7.8,13.7,71.8,187.9,109.3
1648828958,1,100,400,44,14,22,770,25,1,50.7,8.3,13.9,72.4,194.2,113.5
1648828988,1,100,400,42,12,23,762,19.2,0.1,45.7,6.4,13.8,72,189.8,110.6
1648829018,1,100,400,44,9,22,710,21,0.5,38.9,7,13.5,71.6,184.7,107.1
1648829048,1,100,400,44,8,18,676,20.6,1,33.6,6.9,13.2,70.9,177.6,102.3
1648829078,1,100,400,43,7,17,609,12.8,0.2,22.2,4.3,13,70.4,171.3,98.1
1648829108,1,100,400,41,14,23,930,21.2,1.4,40.2,7.1,14.1,72.8,198.1,116.2
1648829138,1,100,400,44,13,18,807,21.8,1.3,51,7.3,13.8,72,189.9,110.6
1648829168,1,100,400,41,12,17,769,28.7,0.7,50.2,9.6,13.5,71.4,182.5,105.7
1648829198,1,100,400,43,9,23,794,22.2,0.6,44.3,7.4,13.7,71.9,187.9,109.3
1648829228,1,100,400,43,15,26,914,18.5,0.3,43.9,6.2,14.5,73.5,206.6,121.9
1648829258,1,100,400,41,7,16,628,16.3,0.2,33.4,5.4,13,70.3,170.9,97.8
1648829288,1,100,400,42,9,14,639,18.2,0.4,43.5,6.1,13.1,70.5,173.2,99.4
1648829318,1,100,400,41,16,24,867,32.5,1.3,71.2,10.8,14.3,73.1,201.8,118.6
1648829348,1,100,400,41,10,23,873,25.3,0.7,57.2,8.4,13.9,72.2,192.3,112.3
1648829378,1,100,400,41,16,27,954,34.2,1.3,75.1,11.4,14.5,73.7,208.4,123.1
1648829408,1,100,400,43,14,21,740,21.3,1,33.6,7.1,13.9,72.3,193,112.7
1648829438,1,100,400,44,9,15,660,19.2,0.4,38.5,6.4,13.2,70.9,177.3,102.2
1648829468,1,100,400,41,13,20,818,30.5,1.2,71.7,10.2,13.8,72.1,191.2,111.5
1648829498,1,100,400,42,11,20,928,30,0.7,48.6,10,13.9,72.4,193.8,113.3
1648829528,1,100,400,44,14,22,850,27,1.1,61.7,9,14.3,73.1,201.6,118.5
1648829558,1,100,400,43,11,15,669,22.4,0.5,48.3,7.5,13.4,71.3,181.6,105
1648829588,1,100,400,41,11,16,732,27.7,0.6,45.5,9.2,13.5,71.4,182.9,105.9
1648829618,1,100,400,41,16,26,880,34.2,0.6,59.8,11.4,14.5,73.5,206.6,121.9
1648829648,1,100,400,42,10,14,649,20,0.2,41.5,6.7,13.2,70.9,177.2,102
1648829678,1,100,400,44,12,19,819,29.7,1.1,47.4,9.9,13.9,72.4,194.3,113.6
1648829708,1,100,400,42,19,26,957,27.7,0.7,57.6,9.2,14.8,74.3,215,127.6
1648829738,1,100,400,44,16,19,862,33.3,1,73.4,11.1,14.3,73.1,201.7,118.6
1648829768,1,100,400,42,14,27,883,23.3,0.5,54.5,7.8,14.4,73.5,206,121.5
1648829798,1,100,400,42,8,13,620,20.8,1.3,50.9,6.9,13,70.4,172.1,98.6
1648829828,1,100,400,41,11,19,625,12.7,0.2,22.1,4.2,13.5,71.5,184,106.7
1648829858,1,100,400,42,16,28,928,24.2,1.1,56,8.1,14.8,74.2,213.9,126.8
1648829888,1,100,400,44,9,18,679,19.9,0.4,39.8,6.6,13.6,71.6,185.6,107.7
1648829918,1,100,400,43,15,20,837,29.8,1.2,70.4,9.9,14.2,73.1,201.4,118.4
1648829948,1,100,400,43,9,14,622,22.3,1.2,53.6,7.4,13.3,71,177.9,102.6
1648829978,1,100,400,42,13,18,694,25.3,1.4,46.9,8.4,13.8,72,189.7,110.5
1648830008,1,100,400,44,17,21,975,22.2,0.8,49.7,7.4,14.7,74,211.9,125.5
1648830038,1,100,400,43,13,28,962,34.3,0.7,83.2,11.4,14.7,74,212,125.6
1648830068,1,100,400,43,13,26,951,31.3,0.9,64.5,10.4,14.6,73.8,209.5,123.8
1648830098,1,100,400,41,13,16,634,16.2,0.2,31.1,5.4,13.5,71.5,184,106.7
1648830128,1,100,400,41,13,20,798,24.3,0.7,50,8.1,14.1,72.7,196.9,115.4
1648830158,1,100,400,43,9,14,606,14.2,0.1,23.7,4.7,13.3,71.1,179.5,103.6
1648830188,1,100,400,42,9,22,746,29.2,1.1,67.2,9.7,13.9,72.3,192.4,112.3
1648830218,1,100,400,43,11,19,866,24.8,0.5,38.2,8.3,14.1,72.7,197.9,116
1648830248,1,100,400,44,15,21,933,21.7,0.5,37.6,7.2,14.6,73.8,209.5,123.9
1648830278,1,100,400,41,13,16,694,18.6,0.3,37.5,6.2,13.7,71.9,188.5,109.7
1648830308,1,100,400,41,8,17,668,19.2,0.3,36.5,6.4,13.4,71.3,181.4,104.9
1648830338,1,100,400,41,9,16,698,23.9,1.5,39.1,8,13.5,71.4,183,106
1648830368,1,100,400,43,13,17,729,20.6,1.3,44.4,6.9,13.9,72.3,193.2,112.9
1648830398,1,100,400,43,14,26,991,21.1,0.7,38.7,7,14.8,74.2,214.6,127.3
1648830428,1,100,400,44,11,13,624,14.4,0.3,26.7,4.8,13.6,71.6,185.3,107.5
1648830458,1,100,400,44,11,20,689,18.2,0.2,28.9,6.1,14,72.5,195.3,114.3
1648830488,1,100,400,43,10,22,887,21.6,0.7,51,7.2,14.3,73.2,202.7,119.2
1648830518,1,100,400,43,11,18,835,33.2,1.5,79.3,11.1,14.1,72.7,197.8,115.9
1648830548,1,100,400,44,15,20,835,23.5,0.9,47.6,7.8,14.5,73.5,206.8,122
1648830578,1,100,400,43,13,27,968,21.8,0.8,52.5,7.3,14.8,74.3,215.5,127.9
1648830608,1,100,400,42,10,23,803,29.4,1.3,53.9,9.8,14.2,72.9,199.3,117
1648830638,1,100,400,43,14,18,721,16.4,0.2,36.3,5.5,14.1,72.7,197.6,115.8
1648830668,1,100,400,41,14,22,832,17.8,0.4,43.6,5.9,14.4,73.3,204,120.1
1648830698,1,100,400,43,11,22,715,20.1,1.5,48.3,6.7,14.1,72.7,197.4,115.7
1648830728,1,100,400,44,13,17,815,25.1,1.5,48.6,8.4,14.3,73.1,202,118.8
1648830758,1,100,400,44,14,23,863,29.3,1.2,71,9.8,14.7,74,211.8,125.4
1648830788,1,100,400,43,13,18,779,18.4,0.4,31.7,6.1,14.2,73,200.6,117.8
1648830818,1,100,400,43,9,21,744,15.9,0.5,34.3,5.3,14,72.6,196.7,115.2
1648830848,1,100,400,41,17,22,869,32.6,1.3,62.1,10.9,14.7,74,211.9,125.5
1648830878,1,100,400,43,12,28,974,21.7,1.1,48.9,7.2,14.9,74.5,217.5,129.3
1648830908,1,100,400,41,17,30,992,22.5,1.4,40.8,7.5,15.2,75.2,225.3,134.5
1648830938,1,100,400,42,13,18,659,17.4,0.3,35.3,5.8,14,72.5,194.7,113.9
1648830968,1,100,400,43,14,19,725,17.3,0.3,32.5,5.8,14.2,73,201,118.1
1648830998,1,100,400,44,11,19,744,22.5,1.5,44.2,7.5,14.1,72.8,198.5,116.5
1648831028,1,100,400,41,11,28,934,24.3,0.9,47.6,8.1,14.8,74.2,214.4,127.2
1648831058,1,100,400,42,16,29,956,29.5,0.7,59.8,9.8,15.2,75.1,224.7,134.1
1648831088,1,100,400,41,11,20,704,22.4,0.6,37.7,7.5,14.1,72.6,196.8,115.3
1648831118,1,100,400,44,11,18,782,22.3,1.1,51.3,7.4,14.2,73,201.1,118.2
1648831148,1,100,400,43,17,20,916,34.8,0.6,63.5,11.6,14.9,74.4,216,128.2
1648831178,1,100,400,43,11,15,675,20.7,1,37.1,6.9,13.9,72.3,192.6,112.4
1648831208,1,100,400,41,10,18,643,15.5,0.5,35.7,5.2,13.8,72.1,190.8,111.3
1648831238,1,100,400,41,18,24,978,22.9,1.5,47.9,7.6,15.1,74.9,221.9,132.2
1648831268,1,100,400,43,10,15,734,20.3,0.9,40.3,6.8,13.9,72.3,193.4,113
1648831298,1,100,400,43,15,24,951,33.5,1,57.1,11.2,15,74.6,218.8,130.1
1648831328,1,100,400,41,9,16,621,15.7,0.4,31.6,5.2,13.7,71.9,188.5,109.7
1648831358,1,100,400,41,12,18,739,21.1,0.8,42,7,14.2,72.9,199.6,117.2
1648831388,1,100,400,42,15,19,855,22.6,0.9,52.4,7.5,14.6,73.9,210.7,124.6
1648831418,1,100,400,41,12,22,885,28.7,1.1,65.6,9.6,14.6,73.8,209.6,123.9
1648831448,1,100,400,44,8,18,685,17.2,0.1,33.7,5.7,14,72.5,195.2,114.2
1648831478,1,100,400,43,14,20,817,20.1,1.5,31,6.7,14.6,73.8,210,124.2
1648831508,1,100,400,43,12,16,639,14.6,0.3,24.4,4.9,14,72.6,195.8,114.6
1648831538,1,100,400,41,11,18,741,17.6,0.1,32.8,5.9,14.1,72.8,198.3,116.3
1648831568,1,100,400,43,12,21,852,26.6,0.8,55.5,8.9,14.6,73.8,209.5,123.9
1648831598,1,100,400,44,15,23,996,33.6,1.2,54.5,11.2,15.1,75,222.8,132.8
1648831628,1,100,400,44,19,26,948,31.2,1.2,63.2,10.4,15.5,75.8,232,139
1648831658,1,100,400,44,8,18,622,13.2,0.4,25.4,4.4,14,72.5,194.8,114
1648831688,1,100,400,41,12,21,742,24.1,1.4,53.5,8,14.4,73.4,205.1,120.9
1648831718,1,100,400,43,14,20,893,28,1.1,58.4,9.3,14.8,74.3,215.1,127.6
1648831748,1,100,400,43,17,23,837,28,1.2,42.4,9.3,15,74.8,220.4,131.2
1648831778,1,100,400,43,17,22,946,24.7,1.2,58.6,8.2,15.2,75,223.6,133.4
1648831808,1,100,400,42,15,24,839,17.1,0.2,41.9,5.7,14.9,74.5,217.6,129.3
1648831838,1,100,400,41,11,26,900,33.1,1,62.8,11,14.8,74.3,215.2,127.7
1648831868,1,100,400,42,13,18,840,26.6,1,60.2,8.9,14.5,73.7,208.3,123
1648831898,1,100,400,44,15,19,741,17.8,0.3,37.9,5.9,14.6,73.9,210.6,124.6
1648831928,1,100,400,43,14,20,933,20,0.1,45.8,6.7,15,74.6,218.8,130.1
1648831958,1,100,400,43,15,21,733,21.4,1.4,36.9,7.1,14.7,74.1,213.5,126.5
1648831988,1,100,400,43,8,19,687,25.7,1,54.5,8.6,14.2,72.9,199.5,117.1
1648832018,1,100,400,43,17,21,885,19.6,0.3,33.5,6.5,15.1,74.9,222.3,132.5
1648832048,1,100,400,42,11,21,747,27.2,0.5,45.2,9.1,14.5,73.6,207.2,122.3
1648832078,1,100,400,44,18,24,962,37.1,0.7,80.2,12.4,15.5,75.7,231.1,138.4
1648832108,1,100,400,44,13,17,686,24.4,0.6,47.3,8.1,14.4,73.4,205.6,121.2
1648832138,1,100,400,44,13,20,762,20.6,1.5,43.3,6.9,14.7,74,211.8,125.4
1648832168,1,100,400,44,13,21,909,22.1,0.8,48.2,7.4,15,74.6,218.6,130
1648832198,1,100,400,44,19,22,988,35.1,0.6,73,11.7,15.5,75.7,231.4,138.6
1648832228,1,100,400,41,19,24,957,24.2,1.3,49.7,8.1,15.5,75.7,231.1,138.4
1648832258,1,100,400,42,11,15,634,17.7,0.4,37.1,5.9,14.1,72.8,198.4,116.4
1648832288,1,100,400,43,14,25,955,22.8,0.8,50.7,7.6,15.3,75.4,227.2,135.8
1648832318,1,100,400,42,8,15,646,23.1,1.4,36.1,7.7,14,72.4,194.6,113.8
1648832348,1,100,400,42,16,23,795,27,1.1,41.6,9,15,74.8,220.5,131.3
1648832378,1,100,400,42,16,20,904,22,0.7,39,7.3,15.1,74.9,221.5,132
1648832408,1,100,400,44,13,19,751,21.6,0.6,52.9,7.2,14.7,74,212.4,125.8
1648832438,1,100,400,42,11,20,671,25.9,1.3,51.2,8.6,14.4,73.4,205.3,121
1648832468,1,100,400,41,9,22,734,17.2,0,32.2,5.7,14.4,73.5,205.9,121.4
1648832498,1,100,400,41,11,23,961,31.2,0.9,74.8,10.4,15,74.6,218.7,130.1
1648832528,1,100,400,42,13,25,924,32,0.6,58.7,10.7,15.3,75.2,225.6,134.7
1648832558,1,100,400,41,12,24,798,24.7,0.7,47.8,8.2,14.9,74.4,217,128.9
1648832588,1,100,400,44,12,19,615,23.9,0.7,50.2,8,14.5,73.6,207.8,122.7
1648832618,1,100,400,41,12,18,840,21.8,1.2,47.3,7.3,14.7,74,212.2,125.7
1648832648,1,100,400,42,19,22,939,29,0.6,45.1,9.7,15.5,75.7,231.5,138.7
1648832678,1,100,400,44,14,25,819,31.7,0.6,54,10.6,15.2,75.2,225.1,134.4
1648832708,1,100,400,44,12,21,949,33.8,1,70.2,11.3,15.2,75,223.1,133
1648832738,1,100,400,42,17,23,835,29.6,0.6,73.6,9.9,15.3,75.2,225.7,134.7
1648832768,1,100,400,41,9,22,740,24.7,1.2,50,8.2,14.5,73.7,208.3,123
1648832798,1,100,400,44,12,20,667,19.6,0.1,36.6,6.5,14.6,73.9,210.9,124.8
1648832828,1,100,400,44,11,13,612,22.9,0.7,43.8,7.6,14.3,73.1,202,118.8
1648832858,1,100,400,41,11,23,907,31.9,0.9,77.6,10.6,15.1,74.8,220.9,131.5
1648832888,1,100,400,44,16,21,981,19.7,0.2,48.8,6.6,15.5,75.8,232.2,139.2
1648832918,1,100,400,44,13,16,675,25.1,1.5,55.9,8.4,14.6,73.9,210.5,124.5
1648832948,1,100,400,42,9,24,817,27.9,0.9,45.6,9.3,14.9,74.4,216.7,128.7
1648832978,1,100,400,41,15,25,968,31.8,0.8,59,10.6,15.5,75.7,231.2,138.5
1648833008,1,100,400,44,8,16,741,23.3,0.9,38.2,7.8,14.4,73.5,206,121.5
1648833038,1,100,400,44,11,19,919,36,0.6,54.9,12,15,74.8,220.5,131.2
1648833068,1,100,400,44,10,18,722,16.5,0.1,36.7,5.5,14.6,73.8,210.2,124.3
1648833098,1,100,400,43,10,14,613,17.3,0.5,26.6,5.8,14.2,73,200.5,117.8
1648833128,1,100,400,42,12,19,672,19.1,0.2,34,6.4,14.7,74,212.1,125.6
1648833158,1,100,400,42,9,20,653,25.6,1.2,45,8.5,14.5,73.7,208.1,122.9
1648833188,1,100,400,43,15,28,942,33.5,1.1,80.9,11.2,15.8,76.3,237.8,142.9
1648833218,1,100,400,43,10,19,645,13,0.2,27.8,4.3,14.6,73.8,209.3,123.7
1648833248,1,100,400,42,8,17,683,20.3,1.4,33.1,6.8,14.4,73.3,204.6,120.6
1648833278,1,100,400,41,16,18,796,21.5,1.1,38.9,7.2,15,74.8,220.5,131.3
1648833308,1,100,400,44,9,16,635,17.8,0,28,5.9,14.4,73.4,205.4,121.1
1648833338,1,100,400,44,11,24,955,20.6,0.7,34.7,6.9,15.4,75.6,229.4,137.3
1648833368,1,100,400,44,10,13,645,19.4,0.3,45.8,6.5,14.4,73.3,204,120.1
1648833398,1,100,400,44,11,18,644,20.3,0.7,46.5,6.8,14.6,73.9,210.8,124.7
1648833428,1,100,400,42,14,19,762,29.5,0.7,73.3,9.8,15.1,74.8,220.6,131.4
1648833458,1,100,400,43,14,21,868,22.4,1.5,34.4,7.5,15.4,75.4,228.1,136.4
1648833488,1,100,400,41,9,16,669,22.7,1.3,46.8,7.6,14.4,73.4,205.5,121.1
1648833518,1,100,400,41,13,18,834,32.7,1.1,80.5,10.9,15,74.7,219.8,130.8
1648833548,1,100,400,44,12,24,793,18.1,0.3,36.8,6,15.3,75.3,226.6,135.4
1648833578,1,100,400,44,11,23,925,24.1,0.7,47.1,8,15.4,75.5,229.3,137.2
1648833608,1,100,400,41,13,23,809,25.7,1,55.7,8.6,15.2,75.1,224.2,133.8
1648833638,1,100,400,42,10,19,666,13.9,0.5,27.1,4.6,14.7,73.9,211.1,125
1648833668,1,100,400,42,16,22,793,22.4,0.6,52.8,7.5,15.4,75.4,227.9,136.3
1648833698,1,100,400,43,13,16,621,17.8,0.2,34.2,5.9,14.7,74,211.6,125.3
1648833728,1,100,400,43,12,17,630,14.8,0.3,28.8,4.9,14.8,74.2,213.7,126.7
1648833758,1,100,400,42,15,19,824,23.1,1,53.7,7.7,15.3,75.3,226.7,135.4
1648833788,1,100,400,43,15,17,829,21.5,0.5,53.6,7.2,15.3,75.2,225.8,134.9
1648833818,1,100,400,44,16,18,774,27,1,59.4,9,15.3,75.4,227.3,135.9
1648833848,1,100,400,42,14,19,849,29.1,1.1,62.2,9.7,15.3,75.3,226.2,135.1
1648833878,1,100,400,42,13,21,685,14,0.2,26.8,4.7,15,74.8,220.5,131.3
1648833908,1,100,400,42,15,19,876,17.6,0.4,42.1,5.9,15.4,75.5,228.7,136.8
1648833938,1,100,400,42,7,14,613,19.9,0.3,43.9,6.6,14.3,73.1,201.5,118.5
1648833968,1,100,400,43,11,19,719,21.8,0.6,40.2,7.3,14.9,74.5,217.9,129.5
1648833998,1,100,400,41,9,21,724,23.9,1.3,52.6,8,14.8,74.3,215.2,127.7
1648834028,1,100,400,44,15,18,790,30.3,0.7,59.1,10.1,15.4,75.5,228.7,136.8
1648834058,1,100,400,42,15,22,932,33,0.9,76.1,11,15.7,76.2,236.3,141.9
1648834088,1,100,400,43,13,22,734,17.9,0.4,40.2,6,15.3,75.3,226.8,135.5
1648834118,1,100,400,42,12,16,636,23,1.5,44.4,7.7,14.8,74.2,213.9,126.8
1648834148,1,100,400,44,10,15,642,25.4,0.8,49.7,8.5,14.7,74,212.5,125.9
1648834178,1,100,400,43,12,20,648,17.7,0,34.4,5.9,15,74.7,219.8,130.8
1648834208,1,100,400,43,10,22,937,21.2,1.4,40.2,7.1,15.5,75.6,230.4,138
1648834238,1,100,400,43,10,24,922,27.8,1.3,60.2,9.3,15.5,75.8,232,139
1648834268,1,100,400,42,14,20,687,23.7,0.9,53.4,7.9,15.2,75,223.1,133
1648834298,1,100,400,44,13,17,778,29,0.7,45.8,9.7,15.2,75.1,224.2,133.8
1648834328,1,100,400,41,10,22,885,22.6,1.1,50,7.5,15.4,75.5,228.3,136.5
1648834358,1,100,400,41,13,14,676,16.4,0.1,39.9,5.5,14.8,74.3,215.8,128.1
1648834388,1,100,400,44,12,17,605,19.2,0.2,41.3,6.4,14.9,74.6,218.2,129.7
1648834418,1,100,400,43,14,19,762,18.4,0.2,34.4,6.1,15.4,75.5,228.2,136.5
1648834448,1,100,400,42,8,20,731,23,0.7,35.9,7.7,15,74.6,218.4,129.8
1648834478,1,100,400,42,12,23,785,26.8,1.3,41.4,8.9,15.4,75.6,229.4,137.3
1648834508,1,100,400,43,15,21,767,26.8,1.3,48.7,8.9,15.5,75.8,232,139
1648834538,1,100,400,42,12,14,647,15.8,0.4,25.2,5.3,14.8,74.2,214.3,127.1
1648834568,1,100,400,44,9,20,659,14,0.1,24.8,4.7,15,74.6,219.2,130.4
1648834598,1,100,400,42,11,28,964,29,0.9,68,9.7,15.9,76.5,240.4,144.7
1648834628,1,100,400,44,14,22,785,30.8,0.9,74.8,10.3,15.7,76.1,235.6,141.5
1648834658,1,100,400,41,12,13,641,15.5,0.2,25.5,5.2,14.8,74.2,214.1,126.9
1648834688,1,100,400,43,15,30,988,24.3,0.8,39.2,8.1,16.4,77.6,252.5,152.8
1648834718,1,100,400,44,19,27,978,29,1.1,44,9.7,16.5,77.9,255.7,155
1648834748,1,100,400,43,17,23,939,31.1,0.9,49.8,10.4,16.1,77,245.9,148.4
1648834778,1,100,400,44,10,16,658,14.9,0.4,27.5,5,15,74.6,218.5,129.9
1648834808,1,100,400,43,8,18,727,19.1,0.3,39.1,6.4,15,74.7,219.3,130.5
1648834838,1,100,400,43,17,24,910,31.3,1.1,65.1,10.4,16.1,77,245.8,148.4
1648834868,1,100,400,41,10,16,732,27.7,1.4,64.4,9.2,14.9,74.5,218,129.6
1648834898,1,100,400,44,12,26,919,24.1,0.8,40.2,8,16,76.7,242.3,146
1648834928,1,100,400,41,12,29,945,31.9,1.1,52.4,10.6,16.1,77,245.3,148
1648834958,1,100,400,41,17,21,862,26.5,1.4,52.3,8.8,15.9,76.6,240.6,144.8
1648834988,1,100,400,44,7,16,615,19.6,0.1,46.9,6.5,14.8,74.2,214.6,127.3
1648835018,1,100,400,41,8,18,622,17.1,0.3,34,5.7,14.8,74.3,215.1,127.6
1648835048,1,100,400,41,15,16,770,29.7,1.4,57,9.9,15.4,75.5,228.8,136.9
1648835078,1,100,400,41,16,17,819,18.8,0,37.9,6.3,15.6,75.9,233.2,139.8
1648835108,1,100,400,44,15,20,863,21.7,0.7,46.1,7.2,15.9,76.5,240.1,144.5
1648835138,1,100,400,41,9,18,834,18.5,0.1,46,6.2,15.2,75.1,224.8,134.2
1648835168,1,100,400,42,20,23,999,21,1.1,37.4,7,16.4,77.7,253.6,153.6
1648835198,1,100,400,44,12,14,628,18.6,0.3,42.7,6.2,15,74.7,220.2,131
1648835228,1,100,400,41,9,21,713,20.4,1.2,34.3,6.8,15.3,75.2,225.5,134.6
1648835258,1,100,400,44,12,23,767,24.4,1.1,38.3,8.1,15.8,76.3,237.4,142.7
1648835288,1,100,400,43,15,22,802,18,0.2,30.7,6,15.9,76.6,240.9,145
1648835318,1,100,400,43,10,16,715,21.2,0.6,42.2,7.1,15.2,75.1,223.9,133.5
1648835348,1,100,400,42,14,25,976,26.3,1.2,62.7,8.8,16.2,77.2,248.4,150.1
1648835378,1,100,400,41,15,28,983,38.5,1.1,62.8,12.8,16.4,77.6,252.2,152.6
1648835408,1,100,400,42,16,26,913,36.3,1.3,87,12.1,16.3,77.4,249.8,151.1
1648835438,1,100,400,42,15,21,941,25.1,1,54.4,8.4,16,76.9,244.1,147.2
1648835468,1,100,400,44,9,22,717,21.2,1.2,37.3,7.1,15.4,75.6,230.1,137.7
1648835498,1,100,400,43,14,22,862,25,0.9,47.6,8.3,15.9,76.7,241.8,145.6
1648835528,1,100,400,44,18,27,962,33,0.9,56.6,11,16.7,78.3,260.1,158
1648835558,1,100,400,42,16,18,803,24.5,0.6,60.8,8.2,15.8,76.4,239.1,143.8
1648835588,1,100,400,42,9,17,796,19.6,0.1,46,6.5,15.3,75.4,227.7,136.1
1648835618,1,100,400,42,12,22,985,21.9,1.4,33,7.3,16.1,76.9,244.8,147.6
1648835648,1,100,400,43,11,18,742,20.5,1,47.8,6.8,15.5,75.7,230.7,138.1
1648835678,1,100,400,41,10,23,869,26.8,1.4,43.8,8.9,15.7,76.3,237.3,142.6
1648835708,1,100,400,44,7,19,622,19.1,0.5,41.8,6.4,15.1,74.9,222.4,132.6
1648835738,1,100,400,41,9,17,629,18,0.4,32.5,6,15,74.7,220,131
1648835768,1,100,400,43,15,22,729,14.9,0,27,5,15.9,76.5,240.2,144.5
